original_hm,target
I was happy when I was able to book and pay for the flight to California for my niece's wedding. ,affection
I watched a movie with my friends last night and it made me happy because I was finally able to relax and not think about work.,bonding
"My sister sent me a big bag of Dried Mangoes a few hours ago and they're just about gone. They are fat free, delicious, AND healthy? What more one can ask for.",affection
I got my car fixed. It'd been broke for a while,achievement
I was happy today when my girlfriend and I signed the lease to our first apartment in which we will live together. ,affection
My girlfriend gave me a jar of love notes and tells me to open one every day before I go to work. Some of them are so funny and others are so sweet. She is an amazing girl and every morning I get so happy when I read them. ,affection
I WANT TO SHOPPING,leisure
I WENT TO COLLAGE.,achievement
I just ate waffles with maple syrup that a friend of mine made.,bonding
"As a mom, every time my sink is clear of all dishes, inside I am doing a little happy dance! It makes my head feel clear somehow. Recently, when my mom came over shortly after giving birth to help me out with the kiddos and she did the dishes, it just made my day. ",affection
I received a job offer.,achievement
Finishing up a major assignment at work.,achievement
my family got a new puppy,affection
Had a picnic with my friend.,bonding
I talked with my parents 2 days ago for the first time in two weeks after they had just gotten back from a cruise.,affection
I was able to watch the baseball game that I recorded this past Sunday. ,leisure
I was happy when I had purchased a video game that I had wanted for a while.,achievement
My summer holidays started and i came home.,leisure
When I took a trip with a very good friend of mine.,bonding
I DM'd a D&d game that turned out to be very fun.,leisure
I scheduled plans to eat with an old roommate this weekend.,bonding
I ate dinner with my roommate and her friend and we all chatted together while we ate.,bonding
"I won a stuffed toy in the claw machine yesterday.
",achievement
I got a 30 minute back rub from my girlfriend when I got home.,affection
today complete my long time project in my office our team members are very happy,achievement
Little night beer with a friend ,bonding
I found a good toy for my cat he loves,affection
The event that made me happy was the birth of my son. He was born almost three months ago mow. He was seven pounds and six ounces at birth.,affection
I received good feedback on an art series that I'm working on,achievement
"A mTurk requester gave me a $1 bonus for my feedback to her HIT, calling it ""insightful"".",achievement
I shaved my beard down to a mustache and received lots of compliments on it.,achievement
My son won his baseball game ,achievement
I WENT TO CALLING.,leisure
I was able to speak on the phone with a friend I hadn't talked to in 8 years.,bonding
I enjoyed a three day weekend this weekend that wasn't too busy. Friday I got a lot of time to myself so I was pretty productive.,enjoy_the_moment
I ate wings at Hooters.,enjoy_the_moment
My boss bought me dinner from my favorite local Thai restaurant. I was happy because I got my favorite peanut chicken dinner.,bonding
I got to visit my in laws for the first time in a long time.,achievement
"My happiest moment in my life for my 28th birthday my dddy presented me a new smart phone surprisingly date day i was so exited....i can't forget date day in my life, date was my family first surprise given by my daddy..rest surprise given by my daddy",affection
I WANT TO TEMPLE,leisure
I had dinner with a lot of my cousins and other relatives.,affection
I went out on a date with my partner. ,affection
I was happy that I was able to find the time to catch up on Mad Men last night.,leisure
